CAMIS,RESTAURANT,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE_DESCRIPTION,INSPECTION_DATE,ACTION,VIOLATION_CODE,VIOLATION_DESC,CRITICALFLAG,INSPECTIONTYPE,Latitude,Longitude
40610000,HOP LEE KITCHEN,Brooklyn,992,MANHATTAN AVENUE,11222,7183894756,Chinese,8/30/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection,40.73287383,-73.95469126
40400539,ALL AMERICAN COFFEE SHOP,Queens,3519,37 AVENUE,11101,7189376161,American,8/3/21,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,Cycle Inspection / Initial Inspection,40.75315485,-73.92780943
50062917,TROPILYZ,Manhattan,1917,7 AVENUE,10026,2123160316,Latin American,8/31/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,Cycle Inspection / Initial Inspection,40.80315796,-73.95255546
50042223,STARBUCKS COFFEE,Queens,9515,63RD DR,11374,3477570261,Coffee/Tea,8/31/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.72946304,-73.86275296
50105515,ZANMI RESTAURANT,Brooklyn,1206,NOSTRAND AVENUE,11225,5165895324,Caribbean,7/28/21,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,Pre-permit (Operational) / Initial Inspection,40.65795895,-73.95035245
50055236,NAKED CRAB,Queens,3916,COLLEGE POINT BLVD,11354,7188868777,Seafood,8/7/21,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Cycle Inspection / Initial Inspection,40.75879748,-73.83447918
50112768,CUPKINS PLAY CAFE,Queens,20803,35TH AVE,11361,7185022633,Coffee/Tea,7/16/21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,Pre-permit (Non-operational) / Initial Inspection,40.7674919,-73.77996609
40385774,PARK PLAZA RESTAURANT,Brooklyn,220,CADMAN PLAZA WEST,11201,7185965900,American,7/23/21,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided,  improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,Cycle Inspection / Initial Inspection,40.69784549,-73.99143494
50053935,BUONGIORNO BAGELS & CAFE,Queens,7010,88TH ST,11385,7188943356,Bakery,8/6/21,Violations were cited in the following area(s).,02G,Cold food item held above 41¬∫ F (smoked fish and reduced oxygen packaged foods above 38 ¬∫F) except during necessary preparation.,Critical,Cycle Inspection / Initial Inspection,40.71061449,-73.86489482
40363298,CAFE METRO,Manhattan,625,8 AVENUE,10018,2127149342,American,7/29/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection,40.75618542,-73.99056473
50080305,GFG CAFE CUISINE,Manhattan,45,WEST   45 STREET,10036,3479879752,European,8/10/21,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,Cycle Inspection / Initial Inspection,40.75604151,-73.98097791
50017599,BLEND SALAD AND JUICE BAR,Brooklyn,1310,78 STREET,11228,7182325300,Soups_Salads_Sandwiches_Beverages,8/25/21,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Cycle Inspection / Initial Inspection,40.61827434,-74.00873491
50052976,ZON BAKERY & CAFE,Manhattan,1275A,SAINT NICHOLAS AVENUE,10033,7183002642,Bakery,7/30/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection,40.84458795,-73.93719743
50017970,SPICE,Manhattan,975,AMSTERDAM AVENUE,10025,2128644168,Thai,8/10/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.8015375,-73.96488793
40550548,GOODY'S BBQ,Queens,7018,AMSTEL BOULEVARD,11692,7183189616,Caribbean,7/29/21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Initial Inspection,40.59262247,-73.79978279
41638553,BRICIOLA,Manhattan,370,WEST   51 STREET,10019,6466785763,Italian,8/3/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.76385403,-73.98791756
50076792,COFFEE & GREEN,Queens,2106,36TH AVE,11106,7186068414,American,8/9/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection,40.75978865,-73.93662073
41640011,PURE BISTRO,Brooklyn,88,5 AVENUE,11217,7186225314,American,8/18/21,Violations were cited in the following area(s).,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",Critical,Cycle Inspection / Initial Inspection,40.68043081,-73.97774389
50107419,TURNER CATERING,Bronx,748,CLARENCE AVENUE,10465,9177488968,American,8/18/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,Pre-permit (Operational) / Initial Inspection,40.83039055,-73.81572669
50085533,JAY ST FRESH 99 CENTS PIZZA,Brooklyn,408,JAY STREET,11201,9173536405,Pizza,8/12/21,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,Cycle Inspection / Initial Inspection,40.69189444,-73.98733206
50106733,MORE CHINEY,Queens,3119,NEWTOWN AVE,11102,3478372327,Coffee/Tea,8/6/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Pre-permit (Operational) / Initial Inspection,40.76743108,-73.92062418
50058678,LOKAL,Manhattan,473,COLUMBUS AVENUE,10024,2125955554,Mediterranean,7/22/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection,40.7843193,-73.97373688
50001897,TAQUERIA GUERRERO,Bronx,1761,CROSBY AVENUE,10461,3472819810,Mexican,8/12/21,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,Cycle Inspection / Initial Inspection,40.84627982,-73.83180285
40392766,BERGEN BEACH CAFE,Brooklyn,7112,AVENUE U,11234,7182411891,American,7/31/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.6200787,-73.90704357
50046492,I LAND FISH & GRILL,Brooklyn,7911,FLATLANDS AVENUE,11236,7184446812,Caribbean,1/15/21,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,Administrative Miscellaneous / Initial Inspection,40.63511998,-73.91388614
40566621,STARBUCKS,Staten Island,2530,HYLAN BOULEVARD,10306,7189798608,Coffee/Tea,8/6/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection,40.57001217,-74.11019608
41679060,E-CHIBAN SUSHI JAPANESE RESTAURANT,Queens,6647,FRESH POND ROAD,11385,7183868333,Southeast Asian,8/17/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection,40.70749996,-73.89742791
41646934,BELLA'S PLACE,Queens,8777,SUTPHIN BLVD,11435,7187395373,Mexican,8/6/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Re-inspection,40.70511747,-73.80938741
40757425,DA MIKELLE II,Queens,10239,QUEENS BOULEVARD,11375,7189976166,Jewish/Kosher,8/5/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection,40.72547103,-73.85086614
40368632,NEW PARKWAY RESTAURANT,Brooklyn,7504,13 AVENUE,11228,7187454371,American,7/24/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection,40.62019578,-74.00754646
50046793,MAH ZE DAHR BAKERY,Manhattan,28,GREENWICH AVENUE,10011,2124989810,Bakery,8/17/21,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Cycle Inspection / Initial Inspection,40.73506487,-74.00019846
41353915,G'S HOMESTYLE COOKING,Queens,9508,SUTPHIN BOULEVARD,11435,7182629320,Caribbean,8/30/21,Violations were cited in the following area(s).,02G,Cold food item held above 41¬∫ F (smoked fish and reduced oxygen packaged foods above 38 ¬∫F) except during necessary preparation.,Critical,Cycle Inspection / Initial Inspection,40.69822026,-73.80635982
40395310,SUNRISE DINER,Queens,4504,PARSONS BOULEVARD,11355,7188864855,American,8/4/21,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,Cycle Inspection / Initial Inspection,40.75555174,-73.8155447
50111432,Q & Q HOUSE,Brooklyn,2229,65 STREET,11204,2679390171,Chinese,7/21/21,Violations were cited in the following area(s).,02G,Cold food item held above 41¬∫ F (smoked fish and reduced oxygen packaged foods above 38 ¬∫F) except during necessary preparation.,Critical,Pre-permit (Operational) / Initial Inspection,40.61325005,-73.98044608
50055399,MCDONALD'S,Manhattan,490,8 AVENUE,10001,9142774800,American,7/30/21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,Cycle Inspection / Initial Inspection,40.75255704,-73.99317839
50113245,STATEN ISLAND SLICE,Staten Island,1880,HYLAN BOULEVARD,10305,7185246522,Pizza,8/30/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,Pre-permit (Operational) / Initial Inspection,40.58352423,-74.09553706
40638566,FRANCESCO'S PIZZERIA RESTAURANT,Queens,7029,PARSONS BOULEVARD,11365,7185916161,Pizza,7/20/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection,40.73113484,-73.81083534
50108172,NARUTO RAMEN,Brooklyn,276,5 AVENUE,11215,3472497683,Southeast Asian,8/31/21,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,Cycle Inspection / Initial Inspection,40.67429973,-73.98203597
50106610,3 BROS 99 CENTS PIZZA,Queens,2503,30TH AVE,11102,9292789914,Pizza,7/19/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Pre-permit (Operational) / Initial Inspection,40.76856209,-73.92494783
41608360,MOMOFUKU MILK BAR UWS,Manhattan,561,COLUMBUS AVENUE,10024,2122560586,Coffee/Tea,8/19/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.78729135,-73.97156898
50054409,KENNEDY FRIED CHICKEN,Bronx,249,EAST TREMONT AVENUE,10457,3475771877,Chicken,8/4/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.84889647,-73.90431527
50054584,BURGER KING,Bronx,977,SOUTHERN BOULEVARD,10459,3477089039,American,8/13/21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140¬∫ F.,Critical,Cycle Inspection / Initial Inspection,40.82227232,-73.89175116
50082975,COLLIDE BBQ FUSION,Queens,3650,MAIN ST,11354,3479866666,Chinese,8/4/21,Violations were cited in the following area(s).,02G,Cold food item held above 41¬∫ F (smoked fish and reduced oxygen packaged foods above 38 ¬∫F) except during necessary preparation.,Critical,Cycle Inspection / Initial Inspection,40.7621692,-73.83150348
40625230,MILLIE'S DELI,Queens,1301,JACKSON AVENUE,11101,7187849198,Soups_Salads_Sandwiches_Beverages,7/29/21,Violations were cited in the following area(s).,02G,Cold food item held above 41¬∫ F (smoked fish and reduced oxygen packaged foods above 38 ¬∫F) except during necessary preparation.,Critical,Cycle Inspection / Initial Inspection,40.74416363,-73.94952289
50103050,KAI YING CHINESE RESTAURANT,Queens,1821,COLLEGE POINT BLVD,11356,7184632200,Chinese,7/29/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Pre-permit (Operational) / Initial Inspection,40.78296447,-73.84585844
40395298,T-BONE DINER,Queens,10748,QUEENS BOULEVARD,11375,7182617744,American,7/22/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.72151311,-73.84469155
41605705,BAGELS FOR YOU,Queens,113-29,QUEENS BOULEVARD,11375,7187939200,Bakery,8/17/21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,Cycle Inspection / Initial Inspection,40.71727827,-73.83510937
41644054,SUBWAY,Manhattan,4227,BROADWAY,10033,2125685169,Soups_Salads_Sandwiches_Beverages,8/26/21,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,Cycle Inspection / Initial Inspection,40.84916871,-73.93682079
41462262,RUCHI INDIAN CUISINE,Manhattan,120,CEDAR STREET,10006,2122278454,Indian Subcontinent,8/30/21,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,Cycle Inspection / Initial Inspection,40.70963664,-74.01271101
41611084,MCDONALD'S,Manhattan,3809,BROADWAY,10032,2125687903,American,8/10/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection,40.83496853,-73.94422094
50082681,NITTIS,Manhattan,523,9 AVENUE,10018,2019526263,Italian,8/6/21,Violations were cited in the following area(s).,18F,Permit not conspicuously displayed.,Not Critical,Administrative Miscellaneous / Initial Inspection,40.75661658,-73.99396125
41044394,DUNKIN,Brooklyn,2928,AVENUE X,11235,7187436555,Bakery,7/21/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection,40.59379771,-73.94056323
50066129,GYRO CAFE,Brooklyn,580,CONEY ISLAND AVENUE,11218,7184380860,Indian Subcontinent,8/23/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection,40.64321258,-73.96994783
50111382,ONLY ONE,Brooklyn,4705,8 AVENUE,11220,9292835303,Coffee/Tea,7/26/21,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,Pre-permit (Operational) / Initial Inspection,40.64268401,-74.00205751
50073152,LOCAL POURHOUSE,Queens,213-11,41 AVENUE,11361,9179233718,American,8/26/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection,40.76352879,-73.77170528
50053975,GREGORYS COFFEE,Manhattan,649,BROADWAY,10012,6464787258,Coffee/Tea,8/4/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,Cycle Inspection / Initial Inspection,40.72678657,-73.99563082
50053465,HAVANA NY RESTAURANT & BAR,Manhattan,58,WEST   38 STREET,10018,2129440990,Latin American,8/5/21,Violations were cited in the following area(s).,02G,Cold food item held above 41¬∫ F (smoked fish and reduced oxygen packaged foods above 38 ¬∫F) except during necessary preparation.,Critical,Cycle Inspection / Initial Inspection,40.75170257,-73.98452706
41258524,FULL DOE BAKERY,Brooklyn,5905,4 AVENUE,11220,9176287877,Bakery,8/20/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.64131573,-74.01791548
50106065,CALAVERAS CORNER,Manhattan,936,AMSTERDAM AVENUE,10025,2126580678,American,8/30/21,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Pre-permit (Operational) / Reopening Inspection,40.80049199,-73.96567949
50056256,MINUS CELSIUS ICE CREAM,Manhattan,302,GRAND STREET,10002,4077977174,Frozen Desserts,8/4/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Cycle Inspection / Initial Inspection,40.71751179,-73.9917246
40378136,BROADWAY RESTAURANT,Manhattan,2664,BROADWAY,10025,2128657074,American,8/13/21,Violations were cited in the following area(s).,02G,Cold food item held above 41¬∫ F (smoked fish and reduced oxygen packaged foods above 38 ¬∫F) except during necessary preparation.,Critical,Cycle Inspection / Initial Inspection,40.79803372,-73.96929978
40974766,CHIKALICIOUS DESSERT BAR,Manhattan,203,EAST   10 STREET,10003,2129959511,Other,7/29/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection,40.729591,-73.98636872
50111445,THANKS GIVING CHINESE FOOD,Brooklyn,1736,NOSTRAND AVENUE,11226,7182825307,Other,7/19/21,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,Pre-permit (Operational) / Initial Inspection,40.64360307,-73.94881011
50085407,BROOKLYN BAGEL,Brooklyn,2,STANWIX STREET,11206,7184009042,Coffee/Tea,8/10/21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Cycle Inspection / Re-inspection,40.69814778,-73.9337007
41621699,MI PASO CENTRO AMERICANO RESTAURANT,Manhattan,4129,BROADWAY,10033,2129280866,Latin American,8/26/21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140¬∫ F.,Critical,Cycle Inspection / Initial Inspection,40.84581285,-73.93857336
50090163,PLACE TO BEACH CANTINA,Brooklyn,1301,BOARDWALK WEST,11224,7183735862,American,7/31/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.57304722,-73.98086464
40931583,CONNECTICUT MUFFIN,Brooklyn,423,MYRTLE AVENUE,11205,7189350087,Coffee/Tea,8/16/21,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.69313699,-73.96866672
50044368,CHOPSTICK,Brooklyn,884,REMSEN AVENUE,11236,7186298555,Chinese,8/30/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.64637828,-73.91283373
50062852,LILLY'S CRAFT AND KITCHEN,Manhattan,675B,9TH AVE,10036,2127570373,American,7/22/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.76135105,-73.99050985
50104259,ROYAL COFFEE SHOP,Staten Island,19,CORSON AVENUE,10301,3478617671,American,7/30/21,Violations were cited in the following area(s).,20D,"‚ÄúChoking first aid‚Äù poster not posted. ‚ÄúAlcohol and pregnancy‚Äù warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,Administrative Miscellaneous / Initial Inspection,40.63820724,-74.07936924
50108654,CUPPA TEA,Queens,3712,PRINCE ST,11354,3015080886,Coffee/Tea,8/16/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Pre-permit (Operational) / Initial Inspection,40.76055175,-73.83283958
41450623,MCDONALD'S,Brooklyn,57,EMPIRE BOULEVARD,11225,7182828100,American,7/31/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,Cycle Inspection / Initial Inspection,40.66332885,-73.96022829
50075442,SABOR PERUANO II,Queens,9513,ROOSEVELT AVE,11372,7185059000,Latin American,8/25/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.74897441,-73.8712121
40763881,GNOCCO,Manhattan,337,EAST   10 STREET,10009,2126771913,Italian,7/20/21,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140¬∫ F to 70¬∫ F or less within 2  hours, and from 70¬∫ F to 41¬∫ F or less within 4 additional hours.",Critical,Cycle Inspection / Initial Inspection,40.72711712,-73.98049913
40393591,DON GIOVANNI RESTAURANT,Manhattan,214,10 AVENUE,10011,2122429054,Italian,7/27/21,Violations were cited in the following area(s).,02G,Cold food item held above 41¬∫ F (smoked fish and reduced oxygen packaged foods above 38 ¬∫F) except during necessary preparation.,Critical,Cycle Inspection / Initial Inspection,40.74740249,-74.00435971
41202545,VANILLA CAFE,Queens,13520,ROOSEVELT AVE,11354,7187622888,Bakery,8/16/21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,Cycle Inspection / Initial Inspection,40.75911685,-73.83138489
41380243,CARVEL,Queens,17115,NORTHERN BOULEVARD,11358,7183599257,Frozen Desserts,8/31/21,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,Cycle Inspection / Initial Inspection,40.75792734,-73.79531341
50106782,ANDRE'S BAKERY,Queens,10028,QUEENS BLVD,11375,7188300266,Bakery,7/23/21,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,Pre-permit (Operational) / Initial Inspection,40.72681369,-73.85336341
40535336,DYKER PARK BAGELS,Brooklyn,713,86 STREET,11228,7188366336,Soups_Salads_Sandwiches_Beverages,8/12/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,Cycle Inspection / Initial Inspection,40.61867339,-74.02154745
50090322,MIAN KITCHEN,Manhattan,230,PARK AVENUE,10169,9294219987,Other,8/23/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Cycle Inspection / Initial Inspection,40.75450075,-73.97595043
41124515,GIARDINO D'ORO,Manhattan,5,GOLD STREET,10038,2125146400,Italian,8/3/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Cycle Inspection / Initial Inspection,40.7074166,-74.00720651
41347936,RALPH'S FAMOUS ITALIAN ICES,Staten Island,890,HUGUENOT AVENUE,10312,7183568133,Frozen Desserts,8/13/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility‚Äôs food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Cycle Inspection / Initial Inspection,40.53265421,-74.19217295
50017936,LUNATICO,Brooklyn,486,HALSEY STREET,11233,7185130339,American,8/28/21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,Cycle Inspection / Initial Inspection,40.68355702,-73.93450849
