restaurant,BORO,INSPECTION DATE,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG
BOBO'S CRAB SHACK,Brooklyn,7/31/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
BOBO'S CRAB SHACK,Brooklyn,7/23/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
BOBO'S CRAB SHACK,Bronx,7/23/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
BOGOTA LATIN BISTRO,Manhattan,7/26/21,04A,Food Protection Certificate not held by supervisor of food operations.,Critical
BOGOTA LATIN BISTRO,Queens,7/29/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
BOHEMIAN BEER GARDEN,Queens,7/30/21,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
BOHEMIAN BEER GARDEN,Bronx,7/26/21,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical
BOLIVIAN LLAMA PARTY,Manhattan,7/26/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
BOLIVIAN LLAMA PARTY,Brooklyn,7/21/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
BOLIVIAN LLAMA PARTY,Queens,7/27/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
BOLIVIAN LLAMA PARTY,Brooklyn,7/20/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
BOSTON MARKET,Brooklyn,7/26/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
BOSTON MARKET,Queens,1/21/21,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical
BOSTON MARKET,Brooklyn,7/30/21,04A,Food Protection Certificate not held by supervisor of food operations.,Critical
BOSTON MARKET,Bronx,7/19/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
BOSTON MARKET,Queens,7/26/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
BOSTON MARKET,Queens,7/22/21,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical
BRAVO PIZZA,Brooklyn,7/19/21,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical
BREWKLYN GRIND COFFEE,Manhattan,7/27/21,04A,Food Protection Certificate not held by supervisor of food operations.,Critical
BRINE,Brooklyn,7/22/21,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
BRINE,Queens,7/20/21,09B,Thawing procedures improper.,Not Critical
BRINE,Brooklyn,7/19/21,02B,Hot food item not held at or above 140º F.,Critical
BRINE,Brooklyn,7/19/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
BROADWAY DELI & CAFE 50068391,Manhattan,7/28/21,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical
BROOKLYN BAGEL,Brooklyn,7/31/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
BROOKLYN BAGEL,Queens,7/26/21,09C,Food contact surface not properly maintained.,Not Critical
BROOKLYN BAGEL,Brooklyn,7/28/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
BROOKLYN BAGEL,Manhattan,7/30/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
BROOKLYN BAGEL,Queens,7/22/21,02B,Hot food item not held at or above 140º F.,Critical
BROOKLYN BAGEL,Queens,7/19/21,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical
BROOKLYN BAGEL,Brooklyn,7/19/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
BROOKLYN KAVA,Manhattan,7/19/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
BROOKLYN PERK,Staten Island,7/19/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
BROOKLYN PERK,Queens,7/26/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
BROOKLYN ROASTING COMPANY,Brooklyn,7/27/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
BROOKLYN ROASTING COMPANY,Manhattan,7/30/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
BROOKLYN ROASTING COMPANY,Manhattan,7/27/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
BROOKLYN ROASTING COMPANY,Brooklyn,7/19/21,04M,Live roaches present in facility's food and/or non-food areas.,Critical
BROOKLYN TEA,Manhattan,7/29/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
BROOKLYN TEA,Brooklyn,7/20/21,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical
BROOKLYNS FAMOUS ITALIAN HEROS,Queens,7/29/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
BROOKLYNS FAMOUS ITALIAN HEROS,Queens,7/19/21,02B,Hot food item not held at or above 140º F.,Critical
BROOKLYNS FAMOUS ITALIAN HEROS,Staten Island,7/19/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
BROOKLYNS FAMOUS ITALIAN HEROS,Brooklyn,7/23/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
BROOME STREET BAR,Manhattan,7/22/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
BROOME STREET BAR,Queens,7/26/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
BROOME STREET BAR,Queens,7/22/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
BROTHERS PIZZA,Brooklyn,7/23/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
BROTHERS PIZZA RESTAURANT,Brooklyn,7/22/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
BROTHERS PIZZA RESTAURANT,Brooklyn,7/19/21,02B,Hot food item not held at or above 140º F.,Critical
BROTHERS PIZZA RESTAURANT,Manhattan,7/21/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
BROTHERS PIZZA RESTAURANT,Brooklyn,7/21/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
BROTHERS PIZZERIA,Brooklyn,7/19/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
BROTHERS PIZZERIA,Brooklyn,7/21/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
BROTHERS PIZZERIA,Brooklyn,7/22/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
BROWNSVILLE CULINARY COMMUNITY CENTER CAFE & EATERY,Brooklyn,7/22/21,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical
BUENA VISTA RESTAURANT & BAR 50053242,Brooklyn,7/22/21,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical
BUENOS AIRES,Brooklyn,7/23/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
BUENOS AIRES,Brooklyn,7/26/21,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical
BUENOS AIRES,Manhattan,7/21/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
BUENOS AIRES,Queens,7/19/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
BUENOS AIRES,Queens,7/19/21,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical
BULL'S EYE SPORTS PUB,Brooklyn,7/28/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
BULL'S EYE SPORTS PUB,Manhattan,7/21/21,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
BULL'S EYE SPORTS PUB,Manhattan,7/29/21,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical
BUONASERA RESTAURANT PIZZA,Queens,7/21/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
BUONASERA RESTAURANT PIZZA,Queens,7/20/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
BUONASERA RESTAURANT PIZZA,Brooklyn,7/21/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
BURGER IM,Brooklyn,7/22/21,20F,Current letter grade sign not posted.,Not Critical
BURGER IM,Brooklyn,7/30/21,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical
BURGER KING,Queens,7/22/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
BURGER KING,Bronx,7/19/21,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical
BURGER KING,Manhattan,7/30/21,09C,Food contact surface not properly maintained.,Not Critical
BURGER KING,Queens,7/20/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
BURGER KING,Queens,7/21/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
BURGER KING,Staten Island,7/19/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
BURGER KING,Brooklyn,7/23/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
BURGER KING,Brooklyn,7/26/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
BURGER KING,Queens,7/20/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
BURGER KING,Brooklyn,7/30/21,04A,Food Protection Certificate not held by supervisor of food operations.,Critical
BURGER KING,Manhattan,7/27/21,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical
BURGERFI,Brooklyn,7/22/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
BUSHWICK PUBLIC HOUSE,Bronx,7/21/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
C & B LUNCHEONETTE,Brooklyn,7/19/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
CABANA LATINA,Queens,7/20/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
CABANA LATINA,Manhattan,7/29/21,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical
CABANA LATINA,Queens,6/2/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
CAFE 1 OF A KIND,Manhattan,7/21/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
CAFE 1 OF A KIND,Brooklyn,7/26/21,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical
CAFE 2000,Queens,7/26/21,09C,Food contact surface not properly maintained.,Not Critical
CAFE 57,Manhattan,7/29/21,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
CAFE 57,Manhattan,7/20/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
CAFE AMORE'S RESTAURANT,Brooklyn,7/30/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
CAFE AMORE'S RESTAURANT,Brooklyn,7/21/21,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Critical
CAFE AMORE'S RESTAURANT,Brooklyn,7/31/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
CAFE BILBOQUET,Manhattan,7/21/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
CAFE BILBOQUET,Brooklyn,7/19/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
CAFE CELLO DELI,Manhattan,7/29/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
CAFE CELLO DELI,Brooklyn,7/28/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
CAFE CELLO DELI,Queens,7/29/21,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical
CAFE D'AVIGNON,Manhattan,7/23/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
CAFE EIGHTY TWO,Brooklyn,7/23/21,20A,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,Not Critical
CAFE EIGHTY TWO,Bronx,7/26/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
CAFE EIGHTY TWO,Brooklyn,7/26/21,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
CAFE EIGHTY TWO,Brooklyn,7/23/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
CAFE EIGHTY TWO,Manhattan,7/27/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
CAFE GOSSIP,Bronx,7/30/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
CAFE GOSSIP,Queens,7/22/21,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical
CAFE GOSSIP,Brooklyn,1/13/21,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical
CAFE GRUMPY,Brooklyn,7/26/21,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical
CAFE HESTIA,Brooklyn,7/30/21,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical
CAFE HESTIA,Manhattan,7/30/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
CAFE HESTIA,Bronx,7/29/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
CAFE HESTIA,Queens,7/28/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
CAFE ISTANBUL,Manhattan,7/29/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
CAFE ISTANBUL,Queens,7/23/21,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical
CAFE ISTANBUL,Queens,7/19/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
CAFE LA MORENA & DELI,Bronx,7/27/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
CAFE LA MORENA & DELI,Queens,7/19/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
CAFE LA MORENA & DELI,Brooklyn,7/29/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
CAFE LA MORENA & DELI,Manhattan,7/27/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
CAFE LA MORENA & DELI,Manhattan,7/21/21,02B,Hot food item not held at or above 140º F.,Critical
CAFE LA MORENA & DELI,Queens,7/29/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
CAFE LA MORENA & DELI,Brooklyn,7/19/21,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical
CAFE LA MORENA & DELI,Bronx,7/29/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
CAFE METRO,Queens,7/30/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
Cafe Metro,Manhattan,7/29/21,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical
Cafe Metro,Manhattan,7/27/21,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical
CAFE METRO,Brooklyn,7/23/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
Cafe Metro,Bronx,7/22/21,04A,Food Protection Certificate not held by supervisor of food operations.,Critical
Cafe Metro,Manhattan,7/21/21,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical
CAFE METRO,Queens,7/27/21,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical
Cafe Metro,Manhattan,7/19/21,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical
CAFE MOCA,Manhattan,7/23/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
CAFE MOCA,Brooklyn,7/24/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
CAFE MOGADOR,Queens,7/21/21,02B,Hot food item not held at or above 140º F.,Critical
CAFE MOGADOR,Brooklyn,7/26/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
CAFE RENAISSANCE,Manhattan,7/20/21,02B,Hot food item not held at or above 140º F.,Critical
CAFE RENAISSANCE,Brooklyn,7/22/21,04M,Live roaches present in facility's food and/or non-food areas.,Critical
CAFE RENAISSANCE,Queens,7/21/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
CAFE RENAISSANCE,Brooklyn,2/9/21,22A,"Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical
CAFE ROYALE,Manhattan,7/20/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
CAFE ROYALE,Queens,7/29/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
CAFE SANDRA,Brooklyn,7/21/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
CAFE WATER,Bronx,7/30/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
CAFE WATER,Queens,7/23/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
CAFE WATER,Staten Island,7/21/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
CAFFE BACIO,Manhattan,7/27/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
CAFFE BENE,Brooklyn,7/26/21,02B,Hot food item not held at or above 140º F.,Critical
CAFFE BENE,Manhattan,7/20/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
CAFFE BENE,Queens,7/23/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
CAFFE BENE,Brooklyn,7/28/21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical
CAFFE PALERMO,Manhattan,7/27/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
CAFFE PALERMO,Bronx,7/28/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
CANALETTO RISTORANTE,Queens,7/21/21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical
CAPRIOTTI'S SANDWICH SHOP,Manhattan,7/27/21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical
CAPRIOTTI'S SANDWICH SHOP,Queens,7/26/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
CAPRIOTTI'S SANDWICH SHOP,Manhattan,7/22/21,02B,Hot food item not held at or above 140º F.,Critical
CARAVAN OF DREAMS,Manhattan,7/23/21,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical
CARAVAN OF DREAMS,Queens,7/30/21,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical
CARAVAN OF DREAMS,Queens,7/20/21,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical
CARAVAN OF DREAMS,Brooklyn,7/22/21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical
CARAVAN OF DREAMS,Queens,7/22/21,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical
CARIBBEAN SOUTHERN CUISINE,Manhattan,7/16/21,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical
